id,longitude,latitude,name,
1766,2.125103,41.395661,Passatge de Senillosa,
1767,2.123269,41.400725,Via Augusta,
1768,2.123231,41.393647,Santa AmÃ¨lia,
1769,2.121069,41.395286,Caponata,
1770,2.120367,41.398772,NegrevernÃ­s,
1771,2.119525,41.397586,Avinguda de J.Foix,
1772,2.197142,41.419589,Treball,
1773,2.204636,41.436144,Sant AdriÃ ,
1774,2.205883,41.434189,Passeig Enric SanchÃ­s,
1775,2.203997,41.438844,Pl. Fra JunÃ­per i Serra,
1776,2.199658,41.438872,Campana de la Maquinista,
1777,2.19965,41.443164,Ciutat d\'Asuncion,
1778,2.139800,41.363125,Pl. Teresa de Claramunt,
1779,2.139106,41.360672,Carrer de la Foneria,
1780,2.143436,41.358256,Mare de DÃ©u dels Ports,
1781,2.141589,41.357081,Jardins de Can Ferrero,
1782,2.137167,41.357336,Carrer de l\'Energia,
1783,2.148078,41.391828,Villarroel,
1784,2.135600,41.362144,Jane Adams,
1785,2.134122,41.363347,Radi,
1786,2.123211,41.375425,MunnÃ©,
1787,2.130142,41.375667,Rambla del Brasil,
1788,2.129506,41.372478,Canalejas,
1789,2.161072,41.411075,Balcells,
1790,2.158094,41.410536,Cardener,
1791,2.178908,41.387094,Gombau,
1792,2.177550,41.390017,MÃ©ndez NÃºÃ±ez,
1793,2.173017,41.395194,BailÃ©n,
1794,2.170669,41.396947,BailÃ©n,
1795,2.169842,41.390742,Bruc,
1796,2.163400,41.393108,Passeig de GrÃ cia,
1797,2.146989,41.387492,Viladomat,
1798,2.142661,41.391808,Loreto,
1799,2.138697,41.385517,Nicaragua,
1800,2.175719,41.396839,DiputaciÃ³,
1801,2.178625,41.400817,Consell de Cent,
1802,2.172997,41.403728,Sardenya,
1803,2.181292,41.404022,Carrer dels Enamorats,
1804,2.184450,41.400025,Padilla,
1805,2.161297,41.375150,Paral.lel,
1806,2.161308,41.394797,Passeig de GrÃ cia,
1807,2.180694,41.372172,World Trade Center,
1808,2.180286,41.371703,World Trade Center,
1809,2.183761,41.377497,Pl. IctÃ­neo,
1810,2.176722,41.378517,Pl.Joaquim Xira i Palau,
1811,2.177300,41.381714,Pl. Sant Miquel,
1812,2.167750,41.381606,AgustÃ­ Duran i Sanpere,
1813,7.88729310035706,45.1903547497407,Municipio,
1814,7.89532899856567,45.1911411076914,Ospedale,
1815,7.88687467575073,45.18847954463,Palazzo Einaudi,
1816,7.88948178291321,45.1933035360357,Stazione FF.SS.,
1817,10.2308249473572,45.5360545129975,Arnaldo,
1818,10.2215337753296,45.5333865807955,Autosilo,
1819,10.2106118202209,45.5396015395136,Cairoli,
1820,10.2349662780762,45.533784899838,Castellini,
1821,10.222864151001,45.5352503890113,Cavour,
1822,10.2218127250671,45.5384292419452,Duomo,
1823,10.2206218242645,45.5448465203239,Fossa Bagni,
1824,10.2104294300079,45.5421940338781,Garibaldi,
1825,10.2179074287415,45.5342583697469,Gramsci,
1826,10.2079725265503,45.5475063952155,Iveco,
1827,10.2142381668091,45.5462290698735,Leonardo da Vinci,
1828,10.2251172065735,45.5358591194416,Magenta,
1829,10.2209222316742,45.531214565063,Palagiustizia,
